p_noise	bell_state	optimization_level	routing_method	noise_adaptive	fidelity	success_rate	depth	gate_count	cx_count	sx_count	x_count	rz_count	initial_layout	adaptive_path	blind_layout
0.04	psi_plus	1	sabre	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_plus	1	lookahead	TRUE	0.892810015	0.972412109	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_plus	1	lookahead	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_plus	2	sabre	TRUE	0.892545273	0.941162109	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_plus	2	sabre	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_plus	2	lookahead	TRUE	0.892810015	0.972412109	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_plus	2	lookahead	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_plus	3	sabre	TRUE	0.892545273	0.941162109	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_plus	3	sabre	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_plus	3	lookahead	TRUE	0.892810015	0.972412109	8	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_plus	3	lookahead	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_minus	1	sabre	TRUE	0.892545273	0.941162109	5	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_minus	1	sabre	FALSE	0.698126602	0.816894531	5	6	1	1	1	3	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_minus	1	lookahead	TRUE	0.892810014	0.972412109	8	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_minus	1	lookahead	FALSE	0.698126602	0.816894531	5	6	1	1	1	3	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_minus	2	sabre	TRUE	0.892545273	0.941162109	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_minus	2	sabre	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_minus	2	lookahead	TRUE	0.892810014	0.972412109	8	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_minus	2	lookahead	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_minus	3	sabre	TRUE	0.892545273	0.941162109	5	8	4	1	1	2	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_minus	3	sabre	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.04	psi_minus	3	lookahead	TRUE	0.892810014	0.972412109	8	9	4	1	1	3	[4, 6]	[4, 5, 6]	[0, 1]
0.04	psi_minus	3	lookahead	FALSE	0.698126602	0.816894531	5	5	1	1	1	2	[0, 1]	[4, 5, 6]	[0, 1]
0.05	phi_plus	1	sabre	TRUE	0.892373667	0.945556641	4	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.05	phi_plus	1	sabre	FALSE	0.655670013	0.775878906	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
0.05	phi_plus	1	lookahead	TRUE	0.892794852	0.983032227	7	7	4	1	0	2	[4, 6]	[4, 5, 6]	[0, 1]
0.05	phi_plus	1	lookahead	FALSE	0.655670013	0.775878906	4	4	1	1	0	2	[0, 1]	[4, 5, 6]	[0, 1]
